Service,X,Y,Z
LinearAcc,0.794446,-0.552762,8.901618,
LinearAcc,1.088773,-1.495568,9.834852,
LinearAcc,0.729837,-1.299349,9.143302,
LinearAcc,1.497960,-0.636514,9.806137,
LinearAcc,1.328064,-1.002628,9.954497,
LinearAcc,1.316099,-0.796838,9.478309,
LinearAcc,1.371136,-1.019379,9.987998,
LinearAcc,1.311314,-1.033736,9.923389,
LinearAcc,1.141417,-0.918877,10.279933,
LinearAcc,1.119881,-0.765731,9.583597,
LinearAcc,0.978699,-1.048094,9.806137,
LinearAcc,1.452495,-0.583870,9.827674,
LinearAcc,1.153382,-0.780088,9.873138,
LinearAcc,1.251491,-0.681979,9.796566,
LinearAcc,1.036129,-0.835125,9.542917,
LinearAcc,1.182097,-0.940413,9.956890,
LinearAcc,1.198847,-0.681979,9.791780,
LinearAcc,0.875804,-0.526440,9.353878,
LinearAcc,1.026558,-0.703515,9.571632,
LinearAcc,0.782481,-1.426173,10.016713,
LinearAcc,0.890162,-0.516868,9.813316,
LinearAcc,0.873411,-1.095952,9.674527,
LinearAcc,1.079202,-1.026558,9.581204,
LinearAcc,0.672407,-1.476424,9.710421,
LinearAcc,0.741802,-1.337636,9.736743,
LinearAcc,1.095952,-1.191668,10.234468,
LinearAcc,0.689158,-1.103131,10.253612,
LinearAcc,0.727444,-1.359172,9.999963,
