Service,X,Y,Z
LinearAcc,0.344579,8.925548,5.285934, 
AngularVelocity,-6.510000,2.030000,2.170000, 
LinearAcc,0.617370,7.741058,5.862625, 
AngularVelocity,-25.059999,3.640000,-2.660000, 
LinearAcc,0.567119,6.960969,6.728858, 
AngularVelocity,-0.980000,1.260000,1.540000, 
LinearAcc,-0.033501,7.860703,5.896125, 
AngularVelocity,-6.230000,-0.840000,-0.700000, 
LinearAcc,0.258434,7.520910,6.585283, 
AngularVelocity,-14.070000,-1.400000,-3.010000, 
LinearAcc,0.263220,7.695592,6.156952, 
AngularVelocity,-0.560000,2.240000,-1.050000, 
LinearAcc,0.217755,8.255533,6.068415, 
AngularVelocity,-3.850000,1.540000,-0.700000, 
LinearAcc,0.248862,7.322299,6.269419, 
AngularVelocity,-2.870000,0.840000,-0.140000, 
LinearAcc,0.323043,7.743451,6.116273, 
AngularVelocity,-4.830000,0.980000,0.140000, 
LinearAcc,0.356543,7.573554,6.058843, 
AngularVelocity,-3.780000,1.540000,-0.560000, 
LinearAcc,0.299114,7.305548,6.302920, 
AngularVelocity,4.970000,2.380000,0.840000, 
LinearAcc,0.423545,7.863096,6.161738, 
AngularVelocity,1.890000,0.140000,0.700000, 
LinearAcc,0.244077,7.461087,6.403422, 
AngularVelocity,-3.990000,-0.420000,0.140000, 
LinearAcc,0.311078,7.800880,6.288562, 
AngularVelocity,-2.730000,0.700000,0.000000, 
LinearAcc,0.313471,7.508945,6.281384, 
LinearAcc,0.299114,7.611841,6.300527, 
LinearAcc,0.311078,7.449123,6.269419, 
LinearAcc,0.258434,7.583126,6.319670, 
LinearAcc,0.275184,7.642949,6.233526, 
LinearAcc,0.457045,-1.060058,9.849210, 
LinearAcc,0.569512,-0.969128,9.889889, 
LinearAcc,0.469010,-0.983485,9.865960, 
LinearAcc,0.526440,-1.057665,9.842031, 
