Service,X,Y,Z
LinearAcc,0.550369,-0.402009,10.026285, 
AngularVelocity,-0.910000,0.910000,-0.140000, 
LinearAcc,0.614977,-0.394830,9.892282, 
AngularVelocity,-1.400000,1.190000,0.280000, 
LinearAcc,0.576691,-0.543190,9.925783, 
AngularVelocity,-0.910000,1.120000,0.350000, 
LinearAcc,0.569512,-0.440295,9.775029, 
AngularVelocity,-0.770000,0.770000,0.070000, 
AngularVelocity,-2.940000,1.050000,-0.140000, 
AngularVelocity,1.120000,0.420000,0.000000, 
AngularVelocity,-2.100000,1.050000,0.140000, 
AngularVelocity,0.070000,0.490000,-0.350000, 
AngularVelocity,-0.770000,0.490000,-0.210000, 
AngularVelocity,0.280000,0.840000,0.140000, 
AngularVelocity,-0.490000,0.490000,0.000000, 
AngularVelocity,-1.190000,0.770000,0.280000, 
AngularVelocity,0.560000,1.190000,0.700000, 
AngularVelocity,-1.400000,0.910000,-0.070000, 
