Service,X,Y,Z
LinearAcc,0.117252,-0.540797,12.122473, 
AngularVelocity,-6.790000,-52.779999,-10.360000, 
LinearAcc,-0.102895,-0.145967,10.344542, 
AngularVelocity,2.240000,-20.860001,-2.030000, 
LinearAcc,0.095716,0.174682,9.911426, 
AngularVelocity,2.380000,-20.510000,-1.120000, 
LinearAcc,0.892555,-0.421152,10.172253, 
AngularVelocity,-7.210000,-23.660000,-0.910000, 
LinearAcc,1.016986,0.023929,9.920997, 
AngularVelocity,1.330000,-7.770000,1.050000, 
LinearAcc,0.636514,-0.430723,9.925783, 
AngularVelocity,-4.900000,-0.770000,-1.050000, 
LinearAcc,0.737016,-0.043072,9.976034, 
AngularVelocity,0.980000,0.140000,-0.770000, 
LinearAcc,0.705908,-0.057430,9.904246, 
AngularVelocity,-1.610000,0.700000,-0.910000, 
LinearAcc,0.741802,-0.067001,9.930569, 
AngularVelocity,-3.080000,0.420000,-0.770000, 
LinearAcc,0.689158,-0.229719,9.834852, 
AngularVelocity,0.700000,-0.070000,0.000000, 
LinearAcc,0.753766,-0.112467,9.913818, 
AngularVelocity,-2.660000,0.490000,-0.070000, 
LinearAcc,0.705908,-0.157932,9.887496, 
AngularVelocity,-0.980000,0.910000,-0.490000, 
LinearAcc,0.741802,0.038287,9.928176, 
AngularVelocity,-1.610000,1.750000,-0.490000, 
LinearAcc,0.626942,-0.346972,10.011928, 
AngularVelocity,-2.520000,1.120000,0.000000, 
LinearAcc,0.758552,0.038287,9.956890, 
AngularVelocity,-1.540000,1.120000,-0.770000, 
LinearAcc,0.732230,-0.007179,9.813316, 
AngularVelocity,-2.730000,1.330000,-0.350000, 
LinearAcc,0.705908,-0.102895,9.894675, 
AngularVelocity,1.120000,0.630000,0.000000, 
LinearAcc,0.710694,-0.150753,9.880318, 
AngularVelocity,1.050000,0.910000,-0.210000, 
LinearAcc,0.679586,-0.131610,9.930569, 
AngularVelocity,-0.630000,0.910000,0.140000, 
LinearAcc,0.629335,-0.026322,9.983212, 
AngularVelocity,0.070000,0.770000,-0.210000, 
LinearAcc,0.715479,-0.196218,9.997570, 
AngularVelocity,-0.560000,0.700000,-0.210000, 
LinearAcc,0.703515,-0.023929,9.868353, 
AngularVelocity,-4.690000,1.820000,0.280000, 
LinearAcc,0.715479,-0.224933,9.851603, 
AngularVelocity,-1.260000,0.980000,-0.140000, 
LinearAcc,0.684372,-0.117252,9.916211, 
AngularVelocity,1.610000,0.560000,-0.070000, 
LinearAcc,0.734623,-0.110074,9.830067, 
AngularVelocity,-1.470000,0.770000,0.280000, 
LinearAcc,0.679586,-0.143574,9.885103, 
AngularVelocity,0.140000,1.120000,0.420000, 
LinearAcc,0.691550,-0.155539,9.901854, 
AngularVelocity,-2.100000,0.770000,0.000000, 
LinearAcc,0.693943,-0.040679,9.861175, 
AngularVelocity,0.910000,0.420000,-0.070000, 
LinearAcc,0.720265,-0.198611,9.904246, 
AngularVelocity,-1.960000,0.420000,0.350000, 
LinearAcc,0.686765,-0.160325,9.964069, 
AngularVelocity,-0.420000,0.560000,-0.070000, 
LinearAcc,0.648478,-0.131610,9.830067, 
AngularVelocity,-1.050000,0.770000,0.070000, 
LinearAcc,0.722658,-0.122038,9.959284, 
LinearAcc,0.804017,-0.021536,9.947319, 
LinearAcc,0.698729,0.033501,9.870746, 
LinearAcc,0.722658,-0.306292,9.918604, 
LinearAcc,0.674800,0.011965,9.889889, 
LinearAcc,0.691550,-0.258434,9.877925, 
LinearAcc,0.703515,-0.122038,9.956890, 
LinearAcc,0.631728,-0.035894,9.930569, 
LinearAcc,0.739409,-0.019143,9.705635, 
LinearAcc,0.720265,-0.201004,9.899461, 
LinearAcc,0.619763,-0.232112,10.023892, 
LinearAcc,0.727444,0.014357,9.885103, 
LinearAcc,0.684372,-0.251255,9.918604, 
