Timestamp (ms),X: (degree per second),Y: (degree per second),Z: (degree per second)
67433,3.010000,1.750000,231.559998, 
67511,-0.210000,30.590000,482.720001, 
67589,86.099998,-39.200001,217.419998, 
67667,-62.160000,-24.150000,-10.430000, 
67747,-10.430000,36.470001,-41.299999, 
67825,-20.230000,90.300003,68.669998, 
67903,237.509995,120.470001,8.890000, 
67981,131.180008,17.150000,-26.670000, 
68059,429.519989,106.959999,-115.290001, 
68138,40.599998,-60.200001,-103.459999, 
68216,-135.169998,-117.320000,-95.760002, 
68294,-146.509995,-96.529999,-102.620003, 
68373,-155.680008,-76.090004,-108.290001, 
68451,1680.839966,587.789978,-92.400002, 
68530,750.609985,99.959999,-105.489998, 
68608,55.299999,113.680000,-64.120003, 
68686,-66.779999,301.489990,12.250000, 
68764,-56.209999,172.830002,128.729996, 
68842,-211.539993,148.539993,151.830002, 
68920,-98.070000,-11.760000,61.529999, 
69000,-24.920000,-13.440001,4.480000, 
69078,138.529999,-47.180000,-106.330002, 
69156,97.370003,273.910004,-119.000000, 
69234,95.480003,374.290009,-121.940002, 
69312,140.000000,349.299988,-141.190002, 
69391,191.449997,318.709991,-167.020004, 
69469,248.430008,282.940002,-198.869995, 
69547,292.040009,245.839996,-234.570007, 
69625,309.959991,174.300003,-266.700012, 
69704,93.870003,15.330000,-22.260000, 
69783,-28.770000,-15.960000,10.990000, 
69861,98.419998,-156.800003,-41.930000, 
69939,28.000000,-65.449997,-5.950000, 
70017,-49.349998,25.129999,9.240000, 
70095,-46.830002,23.379999,-4.200000, 
70174,-0.070000,-13.650000,-12.460000, 
70252,31.920000,-23.100000,-1.610000, 
70331,18.620001,-2.800000,-10.500000, 
70409,1.610000,-3.010000,-8.120000, 
70487,-5.670000,-9.170000,-1.050000, 
70565,-9.730000,-4.900000,-2.590000, 
70644,1.820000,-6.370000,9.870000, 
70722,-0.420000,9.030000,4.830000, 
70800,-8.050000,11.480000,4.480000, 
70878,-2.240000,8.610000,11.550000, 
70957,16.240000,-22.540001,11.550000, 
71036,11.830000,-14.350000,-7.000000, 
71114,1.960000,7.000000,-0.280000, 
71192,-29.120001,36.400002,5.740000, 
71270,-119.699997,159.320007,32.970001, 
71348,-136.779999,278.459991,-3.290000, 
71427,-130.899994,302.890015,-3.780000, 
71505,-129.850006,300.929993,15.190001, 
71583,-134.820007,297.220001,33.670002, 
71662,-155.539993,295.750000,53.060001, 
71740,-73.779999,115.150002,26.809999, 
71818,-35.770000,60.970001,0.420000, 
71897,-25.830000,15.470000,-11.900000, 
71975,-21.280001,7.280000,-7.490000, 
72053,-15.190001,-17.219999,-0.840000, 
72131,-11.270000,-27.719999,3.430000, 
72209,-19.250000,3.920000,5.320000, 
72289,-5.740000,6.440000,-3.850000, 
72367,30.660000,-14.210000,-48.230000, 
72445,-39.340000,208.949997,4.830000, 
72523,-109.620003,368.970001,66.989998, 
72601,-140.000000,383.880005,98.629997, 
72680,-171.990005,363.929993,125.580002, 
72758,-210.630005,339.570007,156.309998, 
72836,472.149994,1038.589966,-170.869995, 
72915,-44.660000,300.160004,-57.049999, 
72993,-119.770004,13.790000,6.090000, 
73071,-31.710001,-22.400000,-0.560000, 
73150,-28.000000,-21.420000,-16.590000, 
73228,-6.930000,-6.300000,-18.549999, 
73306,12.600000,11.830000,-17.500000, 
73384,38.150002,15.470000,-22.540001, 
73462,1.610000,-54.740002,24.710001, 
73541,-12.180000,244.509995,50.400002, 
73620,47.459999,359.380005,1.820000, 
73698,73.220001,356.510010,-24.080000, 
73776,86.800003,345.100006,-36.610001, 
73854,109.550003,329.489990,-51.730000, 
73933,247.800003,-379.260010,-234.850006, 
74011,-9.730000,-192.639999,-96.879997, 
74089,-25.270000,258.720001,-5.110000, 
74167,42.070000,41.160000,16.870001, 
74246,33.320000,-11.620000,17.010000, 
74324,20.160000,8.120000,11.970000, 
74403,12.040000,4.900000,6.790000, 
74481,10.080000,9.800000,10.150000, 
74559,18.690001,14.490000,6.300000, 
74637,6.230000,25.690001,29.889999, 
74715,51.590000,240.800003,34.930000, 
74794,15.820000,202.020004,-29.610001, 
74873,208.809998,205.589996,-176.050003, 
74951,-21.629999,170.309998,-201.250000, 
75029,-55.790001,8.260000,41.720001, 
75107,30.520000,-68.180000,15.750000, 
75186,100.730003,135.240005,230.860001, 
75264,64.400002,156.589996,62.650002, 
75342,102.340004,67.410004,-136.570007, 
75420,374.149994,137.830002,-287.839996, 
75499,149.309998,-21.280001,-192.009995, 
75577,69.440002,73.989998,-88.830002, 
75656,69.510002,211.889999,114.449997, 
75734,125.160004,16.309999,-192.009995, 
75812,83.090004,-64.120003,-55.650002, 
75890,22.120001,15.330000,137.550003, 
75968,-84.349998,-168.979996,-11.970000, 
76047,-97.370003,-25.480000,-9.100000, 
76125,-18.620001,-200.479996,25.830000, 
76204,77.279999,-175.419998,29.889999, 
76282,7.280000,34.650002,-76.790001, 
76360,6.860000,58.099998,-155.889999, 
76439,28.910000,45.920002,-79.029999, 
76517,82.110001,143.080002,20.580000, 
76595,64.610001,205.169998,80.709999, 
76673,56.980000,265.019989,179.550003, 
76751,140.350006,21.910000,42.770000, 
76830,333.829987,-178.850006,-120.260002, 
